epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
1,0.025128729538592093,0.016687789386728914,0.020490614505930364,0.05333810487899221,9.651908409920316e-06,0.0006627097372872686,0.03853049192290987,0.001,0.06796887842866883,26.78452730178833,18.170806012700666,74383.00973481966
2,0.015873457889352564,0.01361471639446369,0.018326525864951267,0.019952967485835766,1.3255560238604334e-05,0.0006020256565266683,0.02092322788248803,0.001,0.023178806391321808,25.064613819122314,21.38699050030247,87548.61803730561
3,0.014364864594343068,0.01282456395693305,0.018702626445450666,0.016013185043699262,1.0272840704796839e-05,0.0005865638112889294,0.018427844520467255,0.001,0.01829485069000465,25.702621936798096,22.558010521751918,92342.24766841794
4,0.013870649699670223,0.012629068297583883,0.01890153508130575,0.013640119684174473,7.255048662285666e-06,0.0005792133602780787,0.01733932646160788,0.001,0.016841784361007115,25.92759132385254,23.14635218300426,94750.65366749054
5,0.013394428351379793,0.0119229480510623,0.01887794963135584,0.011930172328774366,5.146295372463888e-06,0.0005741914436242549,0.016434905207473056,0.001,0.015450195627904104,25.353781700134277,23.612649536381717,96659.46451112193
6,0.013090251870681904,0.011725511140667083,0.018776653834441506,0.010774193611567371,3.850920973524635e-06,0.0005707070252863815,0.01584125606819974,0.001,0.013920949469177634,25.400156021118164,23.92685734468325,97945.68889858245
7,0.012772663633561939,0.011378763618356571,0.01825135218928014,0.009790800401849523,2.8009144476915373e-06,0.0005686986147628903,0.015277513686945377,0.001,0.012641864545226235,25.91416621208191,24.091520618152355,98619.74592189542
8,0.012471436835722598,0.011124780094932491,0.017965342400972646,0.008974744672629913,2.3741649147477857e-06,0.0005677785703689546,0.014772138277408448,0.001,0.011985060162528025,25.59714913368225,24.251799150680363,99275.8526222387
9,0.012315349166275807,0.010869143962314943,0.01789071204632155,0.00835185822105161,1.8334063756364415e-06,0.0005624186015649316,0.014459738922332767,0.001,0.011240561614870066,25.42680311203003,24.395276758873827,99863.18650874573
10,0.012143929347544451,0.010905767223093568,0.017839247637936855,0.00784212420837371,1.570651892053108e-06,0.00056202120491892,0.014160819585318975,0.001,0.01052390341432708,25.692763090133667,24.487030504734875,100238.78392084122
11,0.012067656135586507,0.010699668319941295,0.01790929417714385,0.007434453720946802,1.5820317239356525e-06,0.0005618906841489081,0.013982616837410491,0.001,0.009958533664445388,26.015190839767456,24.5382181242614,100448.32339395759
12,0.011994037155827588,0.010861452793838775,0.017925911217333716,0.007074731764914982,1.3835045161418787e-06,0.0005611413871966577,0.013818972586227612,0.001,0.009262604331112027,25.091965675354004,24.650152284849938,100906.53046518739
13,0.011945127081011702,0.010688023698493474,0.017951556070039242,0.006794927809587422,1.2899687023372507e-06,0.0005605290035011556,0.013700040930628907,0.001,0.008868171703470356,25.76099920272827,24.69964419760453,101109.1285343951
14,0.011907003177158489,0.010674340343784268,0.017984924020897027,0.006516040854178872,1.1808291761163962e-06,0.0005597152268339771,0.013592102996304218,0.001,0.00842222892836399,25.090391635894775,24.785122278969546,101459.0371550589
15,0.011862051494682401,0.010538096573748967,0.018029991700171145,0.006267719911382836,8.831388837731826e-07,0.0005594430763797229,0.01348501409405446,0.001,0.008281849301848675,25.52522921562195,24.83189278006738,101650.4943747294
16,0.011818003133682111,0.010508996479940124,0.018050370249394442,0.006043694084195957,9.569574891855662e-07,0.0005585090325969597,0.013384873253739715,0.001,0.007786136436236143,25.916563987731934,24.84991676989108,101724.27700535607
17,0.011739868177900925,0.010450301351161992,0.01799454520302225,0.005812952074970753,9.208155114423165e-07,0.0005578102931941637,0.013248979307514175,0.001,0.007483423629667084,25.388899564743042,24.895745550107968,101911.87904593199
18,0.011691433321856008,0.010499174388625273,0.018143257494741605,0.005616559567032782,9.956182729242225e-07,0.0005574541157854298,0.01315141818702004,0.001,0.007235371936941119,25.548816680908203,24.927643362556353,102042.4539452255
19,0.011637107099183589,0.010369670384268209,0.018106827078147168,0.005460910581943631,7.27385738226594e-07,0.0005572357737606368,0.013058131060619383,0.001,0.0070230866320991165,25.606099605560303,24.955234052065403,102155.39775969001
20,0.01159935349175718,0.010349397786052488,0.018182647808746327,0.005289441284557885,7.306575056071307e-07,0.0005570430244480551,0.012977491181092017,0.001,0.006891460619306912,25.417439699172974,24.987639366504272,102288.05012957031
21,0.01157511142653876,0.01032667408311149,0.018270313934040217,0.0051548007998524084,6.575336866453417e-07,0.0005569236939223026,0.012919569749262757,0.001,0.006645510790932444,26.205822944641113,24.980417849963484,102258.48911838177
22,0.011538330595540398,0.010187263759534533,0.01834252849792593,0.005005305985765863,7.255068602054656e-07,0.0005569184921928996,0.012845421491887174,0.001,0.006440544583080508,25.452459573745728,25.007200516775796,102368.12493228212
23,0.011508938093652572,0.010302800071857325,0.01835244907454753,0.004882516345134908,6.644440638973597e-07,0.0005569697183269744,0.012785330596175386,0.001,0.006362680745013972,25.498382329940796,25.029687921301505,102460.1784039133
24,0.011457612336630379,0.010179208886877792,0.01828478584694533,0.004752723601549589,5.782127801996168e-07,0.000556135819217853,0.012701464640217581,0.001,0.0062351496090278305,25.84641194343567,25.037798325665356,102493.37816265725
25,0.011422787327319384,0.010229071693086043,0.018371872409629675,0.0046493314350155275,6.056898285553667e-07,0.0005560281063877104,0.012640783565694893,0.001,0.0060915538514078665,25.361965894699097,25.062496551403427,102594.48210094072
26,0.011383259796074654,0.010186126353446304,0.0184103171312553,0.004548498577555424,5.214660974821036e-07,0.0005558292275941731,0.012576019509832677,0.001,0.006046982640629074,25.894492149353027,25.0669556151589,102612.73522142597
27,0.01135505939565279,0.010153352498735597,0.01841982651467612,0.004443919791074389,5.689032639006627e-07,0.0005557989149727213,0.012521676125245051,0.001,0.005985576840134715,25.72917413711548,25.07698954232615,102653.80984344096
28,0.011328712558556645,0.010272908058562657,0.01844806749190838,0.0043594563380597974,4.5605049918875125e-07,0.000555814033519888,0.012474203651473502,0.001,0.005803066871466081,25.56854748725891,25.090590866580342,102709.48737965475
29,0.011271037268480914,0.010161422919936297,0.018307008229173218,0.004288578046731468,4.895624943308407e-07,0.0005557094593503816,0.012398801682348252,0.001,0.005824465258546928,25.233893632888794,25.11564648755667,102812.05390608124
30,0.011250907942321312,0.00997464884663137,0.018344882321458287,0.004221916431561112,5.853980728658583e-07,0.0005554322033164954,0.012361988810350527,0.001,0.005691980322083012,25.140506505966187,25.142095561179392,102920.32401526734
31,0.011198543642070487,0.010081016276849479,0.01828301102894307,0.004148619058770499,4.713758893127024e-07,0.0005552804921010932,0.012291273593562153,0.001,0.005606817683287856,25.576979160308838,25.152001190862656,102960.87350341973
32,0.011177516796631865,0.009843110652049868,0.018313437228896685,0.004057898526822725,3.856243141577869e-07,0.0005550292839061903,0.01224753291915958,0.001,0.005573184655099376,25.5875563621521,25.16215287276967,103002.43004896767
33,0.011164078623216394,0.009931859117364737,0.01836510363143463,0.004001753546148996,4.885068054829809e-07,0.0005547900980929815,0.01222004487024349,0.001,0.005481176145811868,25.615201950073242,25.169790326590974,103033.69418887878
34,0.011155818751870305,0.010065209041008862,0.01837508399839416,0.00395053708240207,4.121115442575483e-07,0.000554597410737634,0.012198953974699013,0.001,0.005494002999517884,25.23587441444397,25.188895644430016,103111.90276006219
35,0.011129870587971312,0.009903224207824322,0.018322993544118902,0.003891991549228644,4.332295755239869e-07,0.0005545238598229855,0.012158364184218326,0.001,0.005417173189479583,25.206889390945435,25.207742766247183,103189.0543355694
36,0.011113726222556245,0.009849365232739507,0.01835127034298847,0.0038452984649470887,3.7563684689012203e-07,0.0005543846604871375,0.01213052686852642,0.001,0.005321503887552928,25.58956742286682,25.21519854287478,103219.57494147419
37,0.011100715477636622,0.009796222274350683,0.018387946243072214,0.0037940313405374444,4.5234893734507323e-07,0.0005540392939908361,0.0121046724770638,0.001,0.0053111206000225125,25.475845098495483,25.225255517606318,103260.74366921099
38,0.011092489798113338,0.009911062457121728,0.01842471098733003,0.0037299213717417344,3.8508945798480244e-07,0.0005538090996542786,0.012080389559959997,0.001,0.005323516738821004,25.485156297683716,25.233835192833705,103295.86495132906
39,0.011066300991602654,0.009850782626194925,0.01845526904941885,0.0036786444313064263,3.414208622868962e-07,0.0005537597574129347,0.012041372217256782,0.001,0.005192285774638476,25.059231519699097,25.253354420556015,103375.76757486121
40,0.011070732921476195,0.00987974754193934,0.018448893303634382,0.003647102270863859,3.7176930762513464e-07,0.0005537279041632553,0.012037918456539249,0.001,0.005154182439515698,25.61806058883667,25.2582481739967,103395.80063596861
41,0.011053509430308465,0.009972781317717418,0.018512116373728023,0.0035993226298896676,3.775868099059916e-07,0.0005537377224208079,0.012008751618703954,0.001,0.005149854360322576,25.845127820968628,25.25748613644117,103392.68116468053
42,0.011050110641421258,0.009857125625741191,0.01850454929496156,0.003568050563706805,3.419016198283757e-07,0.0005534991310042346,0.011997507385610366,0.001,0.005126199123672456,25.84998893737793,25.25664665233702,103389.244641346
43,0.011006800006457998,0.009779177185874887,0.01830070467231555,0.0035551439605059068,3.20332458876182e-07,0.0005533134733845246,0.011950949377168814,0.001,0.005116747721866847,25.3148193359375,25.268027971007704,103435.83471634489
44,0.010972953017263965,0.009659597547951995,0.018329449612190202,0.0035051240373625667,3.702141481229365e-07,0.0005532034003765728,0.011904591388057077,0.001,0.005055421689079583,25.911992073059082,25.264896262471183,103423.01480275922
45,0.010961026403241637,0.009737404460859736,0.018351448622697886,0.0034657126736107277,3.246040467966436e-07,0.0005531025373025517,0.011882797285779253,0.001,0.004998085277934953,25.342821836471558,25.27436155669067,103461.76145308191
46,0.010882336050671942,0.009597192972716762,0.018169849539644147,0.0034609281920765073,3.294390045940983e-07,0.0005530964333544045,0.01180291068592697,0.001,0.004944893866106068,25.84035038948059,25.273432268028003,103457.95735752015
47,0.010855608675457491,0.009792172963299402,0.0181683395115053,0.0034212636424977034,3.6802884746812e-07,0.0005530519187778943,0.011766266580844453,0.001,0.005002737023504851,25.765156269073486,25.273402017129207,103457.83363684798
48,0.010831485615266156,0.009624233230857588,0.01818976321034819,0.0033723734497046955,3.0083787737427544e-07,0.0005528812766813621,0.011729897189148204,0.001,0.004882979554201311,26.02992534637451,25.268663750614458,103438.43737330126
49,0.010818936587796986,0.009541157178762482,0.01819439660586371,0.003348404957992853,3.613316586959231e-07,0.0005524627433338437,0.011711320234794452,0.001,0.004819971024333014,25.61887240409851,25.27233559205617,103453.46817387127
50,0.01079703059527406,0.009432221353962654,0.018190057736827185,0.0033217963674734203,3.2775501995048e-07,0.0005520260260737518,0.011682715065251785,0.001,0.004835309835002284,25.95021629333496,25.268710800444172,103438.62996916383
51,0.01067559913863525,0.009522354866309864,0.018066096770937092,0.0032893337042962253,3.012299173507632e-07,0.0005519105866230007,0.011553153746363341,0.001,0.004888723725081633,25.429850578308105,25.275315366371945,103465.66592061079
52,0.010657659531828085,0.009374695557464913,0.01812185848737421,0.0032455167433881184,2.820105267836544e-07,0.0005517931209742863,0.011524246230825222,0.001,0.004893469979180926,25.479443311691284,25.281276444489215,103490.06780407348
53,0.010655600526170131,0.009494132203299826,0.01812389163597504,0.0032243538748592915,3.542073338112888e-07,0.0005517908665880081,0.011516903502277135,0.001,0.0048728833650667335,25.898454427719116,25.27841748475107,103478.36478439064
54,0.010631452515961294,0.00943542629616653,0.01818041265742179,0.0031818405927181745,2.7752020228151643e-07,0.0005516674818808178,0.011482107164349147,0.001,0.004761601706461101,25.749754667282104,25.27919542309448,103481.54912159946
55,0.010633463135697633,0.009522660998854696,0.018197693839166428,0.003181475822448136,2.6447615405141974e-07,0.0005516031517917176,0.011484018854104243,0.001,0.004817092563368472,25.95211434364319,25.276339175296542,103469.85712282769
56,0.010628624342130555,0.009416851828374513,0.018202599140878288,0.0031459807608265177,2.882077645495584e-07,0.0005515352003290633,0.011470301873146545,0.001,0.004780919539979288,25.89759922027588,25.274539415963254,103462.48967959256
57,0.010534960093788025,0.009282466115021124,0.01811830733154266,0.0031214664569495965,2.8485018629595866e-07,0.0005514662760307018,0.011370501820647127,0.001,0.004738564728016457,26.201380252838135,25.267582871077867,103434.0126656697
58,0.010459950475159324,0.009152049936990186,0.018057415336141924,0.0030934163233539537,3.100045297058113e-07,0.0005514327302058028,0.011288478829471364,0.001,0.004744851016125247,26.316283702850342,25.258343334569364,103396.19027153125
59,0.010395361371966868,0.009082702420106748,0.017983301494133436,0.0030746907195750555,2.741885286233588e-07,0.0005514308115848814,0.011219204551871982,0.001,0.004767254311334273,25.78176188468933,25.258269077033,103395.8863819626
60,0.010380012834547488,0.009178111091165281,0.018014262293242603,0.003046415933333566,2.659345372679279e-07,0.0005513930560605303,0.01119678271694066,0.001,0.004730005004368951,76.72657942771912,24.45397605206062,100103.47586859623
61,0.01036960185516877,0.009093591829807294,0.017991106725794955,0.003040883960445166,2.6433440882373085e-07,0.0005513608829365427,0.011184985367014599,0.001,0.004676167105404558,119.30806136131287,23.136060429448303,94708.52770043907
62,0.010356885561022473,0.009185342458871806,0.017990938847758837,0.0029963360288026144,2.47404778872229e-07,0.0005513101529959943,0.011161125324000614,0.001,0.00460506714966171,118.43796110153198,21.99962090006601,90056.46017321444
63,0.010360737279788848,0.009046697625663222,0.018017397159310573,0.0029959422450489795,2.614066171867882e-07,0.0005512718588722288,0.011164876167600035,0.001,0.004703864403800365,68.33191061019897,21.552946819445268,88227.9792294724
