epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
1,0.041182110905990096,0.02021076069099874,0.019294476932188942,0.13321919903799068,2.7255118047944687e-06,0.0007078873627980531,0.07455797195294805,0.001,0.07100854729347937,28.569932460784912,17.95352501092205,73493.55851994552
2,0.03989286725894988,0.01872889170559441,0.018762532347367585,0.07837355673953068,4.084253260001218e-06,0.0006596390266854179,0.05955262877182709,0.001,0.0339649509041473,26.566675186157227,20.727943849492828,84850.7796680136
3,0.03888827545191247,0.018360461494544657,0.018904670992969004,0.06845175186343537,3.677173046743759e-06,0.0006332006475079713,0.05606490119982678,0.001,0.02762924716665061,25.821925401687622,22.03333082537237,90194.4486925908
4,0.037335165136385184,0.017381600967449385,0.018362071056581712,0.0613885670443254,2.971003389232191e-06,0.0006200238532726682,0.052744606383132726,0.001,0.023347737490445192,26.65387797355652,22.58758702133352,92463.3231503295
5,0.034734640430453365,0.016455880229974667,0.018006452376400035,0.055422620910671225,2.2054974675676617e-06,0.0006122223593107499,0.048651738443799004,0.001,0.021836162013418835,26.66797924041748,22.929591710412822,93863.3354036616
6,0.03250346711602496,0.015046041617851431,0.017775298824728083,0.050670437486213776,1.650516962422025e-06,0.0006081987365378935,0.04523206141292844,0.001,0.019453600530392644,26.642677307128906,23.167847226049165,94838.64581296749
7,0.031481727503491506,0.014851349758029712,0.017733841414557645,0.04746572669321225,1.2721185875930663e-06,0.0006056005721540402,0.04340884644586874,0.001,0.018468434609575597,26.580114364624023,23.349091677526562,95580.5785618447
8,0.030693080419091724,0.015038662453795352,0.017801476622491708,0.044900568790642394,1.1336794037028186e-06,0.0006040167865169126,0.04197873766334438,0.001,0.017161930785542984,26.340958833694458,23.51163740840872,96245.96221123668
9,0.030353143548398662,0.014546757484445484,0.01790731239983915,0.04297172437004882,9.825669733875494e-07,0.0006030898504073451,0.04115648188264894,0.001,0.016366339782881406,26.42067003250122,23.6357052817553,96753.84450169122
10,0.030076670214716644,0.014511587450326217,0.018041401627284983,0.041281118766159,9.395246970486642e-07,0.0006020747046050633,0.0404572513291866,0.001,0.015530092817405524,26.269304275512695,23.74616499606889,97206.01708499783
11,0.029919958664847115,0.015051590471823768,0.018137788591460764,0.03989134637490372,8.325618569692974e-07,0.0006004279747925288,0.039952921312237995,0.001,0.015284651237614225,26.791614294052124,23.79578217944165,97409.12778545707
12,0.029753502661168028,0.01459716245668327,0.01827209429998248,0.038612149672959846,8.93242584106283e-07,0.0005991720997812683,0.03946654661364453,0.001,0.014546385083484686,26.615129709243774,23.852695608278097,97642.10556971937
13,0.02960786133421802,0.014426059453043996,0.01844333216513684,0.037456547321488884,8.11347281068268e-07,0.0005971323643408236,0.03903179253575243,0.001,0.013996148090581037,26.31712031364441,23.921166334318762,97922.39373891464
14,0.029313264200406756,0.01416170592533379,0.018493584231502075,0.03641474750921404,8.352801750825053e-07,0.0005959967643906722,0.03847663428216684,0.001,0.013567196185260645,26.26796269416809,23.981495315905047,98169.3533503506
15,0.02896851646296817,0.014380350413664086,0.018524788080091857,0.03554521110251637,7.837122519048049e-07,0.0005948015770259273,0.03791437776752505,0.001,0.013366913205824015,26.846483945846558,23.999886107253904,98244.63668975393
16,0.028869849338304776,0.014378654338964602,0.01867083733204318,0.03463216573628454,8.078157537686352e-07,0.0005943051700414575,0.037587402070955435,0.001,0.013245089398125656,26.353038787841797,24.044891481352863,98428.86866533352
17,0.028737184071650535,0.014332125304130519,0.018825369552806295,0.033877154892207655,7.46512454099608e-07,0.0005935099152840983,0.03726589843747626,0.001,0.012769432252764336,26.49882197380066,24.077115758299495,98560.78007636128
18,0.02869418138306748,0.014255775763403351,0.018955593180208483,0.03321787268437582,8.103963775487433e-07,0.0005932865415105562,0.03705805924795025,0.001,0.012839401475056732,26.82333016395569,24.08977585724862,98612.6048834617
19,0.028467852039479772,0.01397406298485471,0.019076785018404752,0.03251213295545223,6.853348488084591e-07,0.000594941509492621,0.03665544796277697,0.001,0.012527833088512528,26.975473642349243,24.093982110919264,98629.82320072748
20,0.02841576009108885,0.013854529663193517,0.01922289877158641,0.03193641430269813,6.770240652760682e-07,0.0005942898397326778,0.036459360353143185,0.001,0.012530335586552331,26.40205478668213,24.12169801765083,98743.27985835476
21,0.028370373993769196,0.013974634737412377,0.019354674750881876,0.031317569463988025,6.764964844177222e-07,0.000594231728310811,0.03625925718224572,0.001,0.012203770355418598,26.56468176841736,24.14002940653072,98818.32024087908
22,0.02810054048153063,0.01394980913028121,0.019414898710885295,0.030892859564442758,6.727160193424475e-07,0.0005949935483020599,0.03588332199907346,0.001,0.012105933096305541,26.738170623779297,24.151033059714138,98863.3639625751
23,0.02806217569366463,0.013961935154639366,0.019535217908399603,0.03048433088326107,6.139305624693e-07,0.0005952217553647955,0.03574284198307263,0.001,0.012144448644870126,26.922784090042114,24.153902204158868,98875.1092891955
24,0.028013163623314328,0.013866870584556969,0.019607515802801203,0.029975243024185208,6.555785870048767e-07,0.000595499952363016,0.03556658993245563,0.001,0.012035882173311765,26.497575759887695,24.17240170538876,98950.83766054924
25,0.027961055673887392,0.01390893287138968,0.019696465367736993,0.029617907299425886,6.065463993097066e-07,0.0005951416562668453,0.035425107319010475,0.001,0.011966715548958834,26.540741682052612,24.187895892431754,99014.26418014319
26,0.027905446437238916,0.014224752681556999,0.019770876873010323,0.029203734540614798,6.212914220939225e-07,0.0005951117569912065,0.03526595337723394,0.001,0.01180193821208243,26.650568962097168,24.198422994220373,99057.35707468298
27,0.027734321290684257,0.013774096397910177,0.01976480538973962,0.02884148802619679,6.359130419134e-07,0.0005937167421908924,0.03500412856275673,0.001,0.011770617762477668,26.776435613632202,24.203988927074786,99080.14163891532
28,0.027677670372592892,0.013661569120680414,0.019840134202039863,0.028507407137587027,6.26255877084169e-07,0.0005930878152889399,0.03486389356410625,0.001,0.011626246930214296,65.9845175743103,23.011835220584103,94200.00548125106
29,0.027646254196740185,0.014024000796602994,0.01990560456779014,0.028170598899385682,6.955989524422901e-07,0.0005938777125310552,0.034748361252734956,0.001,0.01163987424853115,85.18053460121155,21.521743075963258,88100.24504363284
30,0.027604735467834342,0.013978594323483908,0.02000605026717109,0.027796604139216106,5.116614012261246e-07,0.000597575199476049,0.0346136951887261,0.001,0.011404489821245882,26.884243965148926,21.60280932700695,88432.0935319667
31,0.02757105080730802,0.014075209534295448,0.020071551152305002,0.02755733084310692,5.696518949092448e-07,0.000597387376388512,0.034520179220913084,0.001,0.011379537721838733,25.82206392288208,21.703927178246744,88846.02398245636
32,0.027551971204533166,0.013671519814013707,0.020120955226611507,0.027320350283196917,5.51230152304813e-07,0.0005970656416668883,0.034441820462514317,0.001,0.011366458493999086,27.134870290756226,21.769727813285467,89115.38203489456
33,0.02754035378960561,0.013916070164158576,0.020196811990252486,0.02707739567178433,5.448261559531964e-07,0.0005969443269026825,0.03436945162285756,0.001,0.011423074741750682,26.87414288520813,21.837682316714115,89393.55693216815
34,0.027515191621964145,0.013899065440566075,0.02026207529956852,0.026885443781302566,5.197730608455196e-07,0.0005968121199852906,0.0342962857565944,0.001,0.011580775838996644,26.676275968551636,21.90631078167351,89674.49063680133
