epoch,train_emd,val_emd,loss,lr,wall_time,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,grad_norm,it_per_sec,samples_per_sec
1,0.059304756280948966,0.031221790807094515,0.12843173019238238,0.0005,31.36838126182556,0.013301074600555688,0.27029387961410306,0.0009117758070218758,0.0006945497718189009,0.013928714500235943,0.12843173019238238,0.024615511158195557,20.78110515579486,85068.39527290667
2,0.05766020207865838,0.02887976024208999,0.09213841912153745,0.0005,28.78358244895935,0.013986217862200792,0.13757128812418393,1.0069796854815337e-05,0.00033092729058891584,0.0005129530308869927,0.09213841912153745,0.022755101463111816,21.64273627106634,88595.53255007979
3,0.05310430209740905,0.02848150744670775,0.08420324141292108,0.0005,28.801963567733765,0.014246142082247722,0.12426407915180081,2.0506449479616335e-06,0.0001629443220155702,0.00016420030865475088,0.08420324141292108,0.02299919184240187,21.93928385089443,89809.46623870857
4,0.05121716090186608,0.02768466126446317,0.08041180355464066,0.0005,28.912745237350464,0.014525267988317674,0.11670984880873031,1.646172867255276e-06,8.472119202870201e-05,8.543714102415834e-05,0.08041180355464066,0.022545344173405434,22.069054842121986,90340.69016769071
5,0.04973591673273616,0.027219138721503864,0.07767230431099952,0.0005,29.0706148147583,0.014775235520138697,0.11170962202631257,1.6663431626387589e-06,4.385521685262407e-05,4.429915683699145e-05,0.07767230431099952,0.022331092023844916,22.119819542387667,90548.49717560103
6,0.048727774341230747,0.026948930650222594,0.07568815203125494,0.0005,30.41028118133545,0.015023901112994717,0.10782254626688782,2.1691385960876306e-06,2.2426700519522484e-05,2.281539390663787e-05,0.07568815203125494,0.022202960838295198,21.988524441557786,90011.035819696
7,0.04809879140779833,0.026585581280836244,0.07428384450779164,0.0005,30.8679141998291,0.015290359289391093,0.10473029859409742,2.0114336492682912e-06,1.1218196419281273e-05,1.1554884621060643e-05,0.07428384450779164,0.022117427575967612,21.84646361598123,89429.50320091864
8,0.04754513112451036,0.026809132044635166,0.07308592490918124,0.0005,30.11788320541382,0.015544170660875234,0.10215732704368105,2.5925614731290335e-06,5.7923770435170955e-06,6.23529898945382e-06,0.07308592490918124,0.021922683211877667,21.810548510406374,89282.4833461383
9,0.0471340901464041,0.026690650504173304,0.07215552896339335,0.0005,28.732171297073364,0.015797122415909373,0.10008245689417321,2.148208944292723e-06,2.847981206176732e-06,3.2497443088759386e-06,0.07215552896339335,0.021717015402448688,21.905113803858193,89669.59054184039
10,0.04678112041045186,0.027169754592383782,0.07131076214230254,0.0005,29.09095597267151,0.016014810577263495,0.09811559112662552,2.8005937562590275e-06,1.9724937963828387e-06,2.666414390410373e-06,0.07131076214230254,0.02162912138880579,21.95479804050974,89872.9753195485
11,0.046517761984120116,0.026624753662362333,0.07062982260937206,0.0005,28.965254068374634,0.016242347440562365,0.09644578422414013,2.5846493083433786e-06,1.5443653100132041e-06,2.0166775506468577e-06,0.07062982260937206,0.021437969275870206,22.004098188406818,90074.78786564452
12,0.04621495870999032,0.026728225962781325,0.06996545140282606,0.0005,28.927223443984985,0.016423644726536027,0.09499972959283305,2.6427304203096557e-06,1.2218749651607766e-06,1.7383408893667722e-06,0.06996545140282606,0.021269427600996624,22.047715459742907,90253.33709352228
13,0.04604913378305779,0.026828488130576728,0.06947127838557146,0.0005,28.83207607269287,0.016632561586180164,0.09368668772005961,2.1726803559437154e-06,1.0679864850042442e-06,1.4860581467874167e-06,0.06947127838557146,0.021123165310434767,22.09023180968438,90427.37977276454
14,0.04590368989077997,0.026490934329425415,0.06902465968525752,0.0005,28.46621012687683,0.016821687801118278,0.09248150263461599,2.7461929110071696e-06,1.3174672600203804e-06,1.8776980645677988e-06,0.06902465968525752,0.021013867241427578,22.146449280065315,90657.50876926165
15,0.04577717223873168,0.026690612229087005,0.06859876232579414,0.0005,28.916513919830322,0.017002573171116274,0.09128403941317936,2.612362298887887e-06,1.3749988316742878e-06,1.8149765455299715e-06,0.06859876232579414,0.020936355309023814,22.16670224580685,90740.41519122051
16,0.045617579145391295,0.02691432547460242,0.06821272537591604,0.0005,28.986173391342163,0.01716856559327135,0.09037871885061996,2.1673456767586096e-06,1.0201321425986783e-06,1.4777008780017513e-06,0.06821272537591604,0.020798432063654157,22.186836532459985,90822.83575180123
17,0.045448033019123264,0.02672972384749389,0.06780464363139252,0.0005,28.883949518203735,0.017336292323753513,0.08942460877809422,2.2831286871280902e-06,8.979369565716777e-07,1.4031118133374147e-06,0.06780464363139252,0.020716745557800575,22.209180280732163,90914.30111338421
18,0.04524550610936127,0.026724292851257617,0.06738503347643596,0.0005,28.847471714019775,0.017500095172253854,0.08855633601043487,2.289516787374552e-06,8.208324106416557e-07,1.3232954617017031e-06,0.06738503347643596,0.02066101304946776,22.23061789146309,91002.05693220813
19,0.0451270646695619,0.026670557810220777,0.06707105536072687,0.0005,28.86617875099182,0.0176294463875195,0.08777376906546347,2.571047799320009e-06,1.1614900282027804e-06,1.751710163490801e-06,0.06707105536072687,0.020519844362043713,22.249079513145535,91077.63048371473
20,0.04499366106408322,0.02688933202497116,0.06673848005386922,0.0005,28.649399280548096,0.0177997099578472,0.08697742918517692,2.2752961930800638e-06,9.135943599509633e-07,1.428044364521237e-06,0.06673848005386922,0.020473055212981314,22.273973266343866,91179.53388485732
21,0.04491703483658883,0.026767750520531725,0.06650130433368008,0.0005,29.05349826812744,0.017912949832510548,0.08633513810353045,2.3913183200860563e-06,9.683510616132814e-07,1.4900427047143764e-06,0.06650130433368008,0.02032763848332631,22.28187892639942,91211.89641270592
