epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
1,0.02595759122032512,0.022395957238608745,0.01797735041001686,0.1249674355691196,1.6845190692699356e-06,0.0007127777170147061,0.05727089633621342,0.001,0.060957251108062965,27.33601975440979,18.8272232901424,77070.0682103082
2,0.02272964613455022,0.020113765421073612,0.02002695740766229,0.06682437222359554,2.7332875872881607e-06,0.0006684493933242968,0.039502857458540264,0.001,0.03059280382760692,25.716735124588013,21.598318865636703,88413.68971908028
3,0.02176480014962744,0.020296954936007174,0.020415827597668565,0.05795440393745716,2.509279113906044e-06,0.0006360068659803778,0.036317252748501165,0.001,0.02663479159169036,25.280144929885864,22.826724198059004,93442.2390543879
4,0.021449012287601005,0.020233835116392228,0.02036069825211643,0.05293347290574225,1.8363419349113145e-06,0.0006219049748904615,0.034744754645719106,0.001,0.02206665575875689,25.219548225402832,23.51482671925409,96259.01976573696
5,0.021255888196245475,0.01970746729341222,0.020205348972916787,0.0496037194128234,1.2995564927161936e-06,0.000614015765286742,0.03371834958162927,0.001,0.02045635745769218,25.5878849029541,23.883351345600843,97767.59339116531
6,0.021168277413224332,0.01902638602910972,0.019817383085703192,0.04703875968769833,8.518658649701205e-07,0.0006080603588942404,0.03298885855762484,0.001,0.01927031168679884,25.80564832687378,24.098730937409233,98649.25972787637
7,0.020831959404942632,0.01948191895626667,0.019009144599635177,0.044676221684307044,7.244622841261163e-07,0.0006055331754496755,0.03206164058979277,0.001,0.01778856881299953,25.62849497795105,24.27738934119668,99380.60667090715
8,0.01973637178300257,0.01692237809482144,0.018453346199693126,0.041264635099360916,2.6860827692832323e-05,0.0006415926414953282,0.030119375904761617,0.001,0.017933950230959186,25.532740831375122,24.427854206462346,99996.53869926555
9,0.0186651632921096,0.016393655411353927,0.01792761356644104,0.03774750572086478,6.461122517926006e-13,0.0007812465864063692,0.02818016438103104,0.001,0.017475963957276356,25.388984203338623,24.557506809852644,100527.28136455647
10,0.01796118060892528,0.016382918693125248,0.017721759906735704,0.035415487263945895,3.9439597976657763e-16,0.0007812465931020357,0.02689317708422199,0.001,0.01633230904031522,25.484337091445923,24.65316450682043,100918.86061836072
11,0.017662914586967667,0.01563790784694436,0.017781923010808193,0.03382649472371841,8.034738778096195e-16,0.0007812465898881158,0.02619766292688616,0.001,0.01574801783465946,25.30228543281555,24.747824188142374,101306.35410069325
12,0.01737024161416146,0.014907065563176463,0.01786888303646555,0.03250806432137369,4.1427660173072377e-16,0.0007812465873884003,0.02557538235324376,0.001,0.015602962279612302,24.971550226211548,24.853007052559878,101736.92567849289
13,0.01705167664963455,0.015237017909473762,0.01795577188736639,0.03136662911749416,4.518562213642425e-17,0.0007812465915843513,0.024971458588166528,0.001,0.014963825007592059,25.144523859024048,24.930561246775948,102054.39571077221
14,0.01689450026981167,0.014706935517762492,0.01812352418636709,0.03026107996645058,3.573570685516337e-17,0.0007812465922985558,0.024537894920654175,0.001,0.014479466952509219,25.54129409790039,24.972245396745777,102225.03302752995
15,0.01680504522954851,0.015566160300428547,0.01828922293051803,0.02937116097384618,4.4164604139804425e-16,0.0007812465901559424,0.024225960132025694,0.001,0.014593684473046405,25.392284393310547,25.01589061501766,102403.6970847345
16,0.016693326214648373,0.015354942598539154,0.018470258072041477,0.028494242673019872,2.8535181102716966e-17,0.0007812465956910268,0.02389501154247245,0.001,0.014201149443004485,25.23756194114685,25.065521121570313,102606.86203417012
17,0.01663161572097498,0.01475011347225163,0.018612089481181895,0.027743335870420275,1.3295742102805114e-16,0.0007812465869420225,0.023645574347274264,0.001,0.013850586987357656,25.814622163772583,25.076695248671747,102652.60423034425
18,0.016406032098228673,0.014500515478685862,0.018646290191546358,0.027001107580091326,1.5992986012047138e-16,0.0007812465872991248,0.023234433651981433,0.001,0.013807418230532503,25.251218557357788,25.116884021144596,102817.11879905727
19,0.016252577484819605,0.014491382089057347,0.01873583977676334,0.026298046223476437,1.2123723659599992e-16,0.0007812465913165246,0.022905213699820376,0.001,0.013726115467432498,25.135182857513428,25.15682023838318,102980.59972229252
20,0.01618120113981922,0.014224075303390258,0.018805813798509492,0.025745029101273947,1.743938570860396e-16,0.0007812465957803024,0.022695583074715756,0.001,0.013755065341840036,25.730655193328857,25.164531407633966,103012.1658198834
21,0.01610325549392064,0.014558301011963589,0.018972140914000617,0.025182397573317854,1.0233328194438143e-17,0.0007812465947089957,0.022476979546721003,0.001,0.013497473039961436,25.378260850906372,25.18760318625956,103106.61108943544
22,0.016021419066558677,0.014512972735867994,0.019066124534565795,0.02469811668516668,1.2005883448638954e-16,0.0007812465880133292,0.02227407289665169,0.001,0.013027173697668488,25.459450483322144,25.206464718354965,103183.8218775514
23,0.01596653917261565,0.014131393340393537,0.01920913888621458,0.024247956542195352,4.772441502192737e-17,0.0007812465989049467,0.022106652968054984,0.001,0.01298311329589574,67.11332631111145,23.57217237105002,96493.77094434905
24,0.01589427789976032,0.014599496623637473,0.01932286475699372,0.023852788154721444,2.994009697094292e-17,0.0007812465922985558,0.02193559959767054,0.001,0.01317883424098072,115.76333022117615,20.809178816515136,85183.33004468902
25,0.015811658391523306,0.01426951994937731,0.01944769185002139,0.023405400470493394,1.8707657948961493e-16,0.0007812465872991248,0.021741133167876583,0.001,0.012926137250522437,65.29972863197327,19.944308849282642,81642.94486187122
26,0.01576639410891096,0.01404292516910085,0.019571503664315478,0.0230512110076479,9.88538050570455e-18,0.0007812465858707159,0.021607321519410007,0.001,0.01275772101065841,116.04817914962769,18.163036631974098,74351.22520688255
27,0.0157388108425368,0.014068811757081166,0.01965709559710845,0.0226979100122545,1.3108330606877893e-16,0.0007812465914058002,0.02149141300474102,0.001,0.01264558441542729,38.93200755119324,18.105769406087994,74116.79956978669
