epoch,train_emd,val_emd,loss,lr,wall_time,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,grad_norm,it_per_sec,samples_per_sec
1,0.03464152988754521,0.03582096938043833,0.43509257831110437,0.0005,8.958019733428955,0.012410685035192277,0.8706642822785811,1.174545753993525,0.3094254106529488,0.34387861389266555,0.43509257831110437,0.9976656769733291,13.498636400716022,55044.63123484561
2,0.0509355551263025,0.043868528213351965,0.2581698113775327,0.0005,7.2808074951171875,0.012403364885937084,0.6657934523811025,0.030247775222028584,0.18764780868183484,0.1899633476556825,0.2581698113775327,0.0401580284757555,14.832514483898354,60483.918006156484
3,0.052158581847247996,0.0443677194416523,0.24385248440325505,0.0005,50.987550497055054,0.012564288560023978,0.6439578153870322,0.03243335458057479,0.1364167408386538,0.13819439167326147,0.24385248440325505,0.03877450621201972,5.393501286807154,21993.58342036199
4,0.051426297438538764,0.04393425118178129,0.23405171365223149,0.0005,6.920859336853027,0.012435406146278558,0.6358676996112855,0.030162451527089126,0.1025868292805577,0.10383563230106653,0.23405171365223149,0.03152583217756315,6.520785058599604,26590.413772268173
5,0.05179823701046715,0.044088543159887195,0.2238666164711857,0.0005,53.400572538375854,0.012534159012446719,0.6119356332731641,0.030249276544806386,0.07978013016221937,0.08081530471724913,0.2238666164711857,0.031825355431141934,4.740455232224709,19330.596606882526
6,0.05507240641461916,0.046814966946840286,0.21275928841734473,0.0005,7.602928638458252,0.012891817607047143,0.5654202492769099,0.03071211898807159,0.06584949655966325,0.06675658128724611,0.21275928841734473,0.03825408451197561,5.368711249736694,21892.4950069746
7,0.055897782656772074,0.04610075685195625,0.20164858066777058,0.0005,51.8928439617157,0.012937147609027456,0.5274630228349985,0.02876925810186331,0.05465952430135947,0.05542164061926613,0.20164858066777058,0.0402564801091005,4.526483762494612,18458.06541842604
8,0.05804425487217824,0.048964753514155746,0.18713807595570472,0.0005,7.130777597427368,0.01333172215256563,0.46590520109026884,0.030920187627111583,0.04724159747485287,0.04801342300762815,0.18713807595570472,0.04572794644916353,4.983220988614712,20320.5454258719
9,0.060995357526727946,0.04902891279198229,0.1733747726136988,0.0005,53.007819414138794,0.014016724984384766,0.4051341251893477,0.028872082979718515,0.04070996163674623,0.041376793279874424,0.1733747726136988,0.05498255740019901,4.404273878653656,17959.718730032393
10,0.06213707858619611,0.048986419569700956,0.16061655151357582,0.0005,7.180273056030273,0.0146063373862835,0.3560897304006845,0.025086396443080312,0.03449330395780319,0.034990702871202435,0.16061655151357582,0.06845371769972083,4.755536990666808,19392.09711726413
11,0.06467075809097488,0.04888394963927567,0.14763943033585372,0.0005,45.6404983997345,0.015058030459013853,0.30072430736762434,0.019842449452512522,0.02884772830942938,0.029185776267785672,0.14763943033585372,0.0764485625934995,4.435470572309768,18086.932459376883
