epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
1,0.056892581433043495,0.03388774459292068,0.013588253041402753,0.17572151646003736,0.00036675869153322116,0.00010257051920580463,0.0007515279929904906,0.10094504626842579,0.0005,0.060424603001717835,432.1330759525299,48.25305822163912,6176.243263077001
2,0.05259203706483351,0.03372833059081114,0.014878337665621971,0.1458007901601112,2.1564741691822592e-05,4.636286198441616e-06,7.144452725978869e-06,0.08904556915292292,0.0005,0.0484676440551008,621.3565440177917,39.58488310557929,5066.743530147344
3,0.051227859412201156,0.033058775470981114,0.015537369866740569,0.13861322919585337,1.893545421881448e-05,3.971273266440548e-06,6.261867604973338e-06,0.08588408357067352,0.0005,0.04345273399347167,742.8191542625427,34.82324249861355,4457.268153854573
4,0.05047950329898261,0.03396842800120787,0.015987262190168636,0.1342630103875774,1.882686521754999e-05,4.918951027291344e-06,7.2295969510551095e-06,0.08404835343719656,0.0005,0.040168708356648666,503.7373127937317,36.261738975888825,4641.391288724411
5,0.04992929604704855,0.03413325546457249,0.016332364186991858,0.1312058714257563,1.6178777516072023e-05,3.627526416447332e-06,5.665218266508699e-06,0.08273331105570753,0.0005,0.03770820382718442,728.1593351364136,34.428273596799,4406.713348290741
6,0.04955881684157428,0.03316972201234955,0.016564440975535954,0.12892978487055018,1.4792731187000556e-05,3.30828134308968e-06,5.237246262051725e-06,0.08179359688509105,0.0005,0.03599597842229072,420.3263027667999,36.27852916996379,4643.540383634268
7,0.04924243217383817,0.03338683023691566,0.01677438433846802,0.12701774724528161,1.4115684058017724e-05,3.2956194665238813e-06,5.1726409768800755e-06,0.08099912737960871,0.0005,0.03457503226831692,8994.757790327072,11.730225731609064,1501.4328903922858
8,0.04899558886948529,0.033680177367666375,0.016963830401464573,0.12547918697277793,1.332713005999049e-05,3.1079698650743356e-06,4.886129975049459e-06,0.08036751773566979,0.0005,0.033658972768759385,6695.463388442993,8.716082775812781,1115.6318433006213
9,0.04879399668657572,0.0338291663620771,0.01711155721849324,0.12408859125480882,1.250968866594788e-05,2.9494223106342497e-06,4.651141442319347e-06,0.07981815552551981,0.0005,0.03275516138028131,5996.431381702423,7.466311016768671,955.6648941263354
10,0.04863520253091656,0.03332646401962719,0.017246544393763497,0.1229446787132015,1.5011057541942298e-05,4.705561740852582e-06,6.803833967755363e-06,0.079374024254542,0.0005,0.032046207084336385,1776.6671297550201,7.748224577555091,991.7489646276359
11,0.04847068735072309,0.033371927680345526,0.017375441141242193,0.12198028180468809,1.3048901052800235e-05,3.5275565179539823e-06,5.436760590925139e-06,0.07896795912371127,0.0005,0.03161040420859978,428.1583766937256,8.389572348591077,1073.8395108502143
12,0.0483502357983424,0.03318487189775872,0.01749722576759464,0.12098960231888861,1.543358426430751e-05,4.614927389014879e-06,6.718401884073061e-06,0.0786003130694183,0.0005,0.031201941839712477,1455.764948606491,8.689571817253116,1112.2385220760532
13,0.04821449518793293,0.03335046223684499,0.017556756119564126,0.1202838303513772,9.900877655720774e-06,2.3260612101220762e-06,3.719678954009325e-06,0.07828704743755922,0.0005,0.030787487204977877,1104.4475519657135,9.065982959297402,1160.4179929667869
