epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
1,0.11180931329727173,0.07558924704790115,0.014161438681185246,0.8034697771072388,0.07258184999227524,0.002939283847808838,0.19242504239082336,0.3394713751971722,0.001,0.06210973486304283,2.0097391605377197,0.49666710085376975,826.4525878590845
2,0.10542625933885574,0.07559503614902496,0.0140373008325696,0.7906541228294373,0.06107223778963089,0.0026973991189152002,0.1714951992034912,0.3266162736574188,0.001,0.07200261205434799,1.8094236850738525,0.5171546595259944,860.5449290329772
3,0.09643076360225677,0.07559604942798615,0.013915237039327621,0.7779219746589661,0.048586975783109665,0.0025750889908522367,0.15352500975131989,0.31137996471952645,0.001,0.06710931658744812,1.6934094429016113,0.5394589338676943,897.6593580777557
4,0.08962666988372803,0.0755961537361145,0.01381833665072918,0.7647837400436401,0.039248399436473846,0.0024924837052822113,0.1411207616329193,0.29910876937210557,0.001,0.05106005817651749,1.6469554901123047,0.5549008571928755,923.3548736706631
5,0.08542641997337341,0.0755949318408966,0.01371340174227953,0.751613199710846,0.030953649431467056,0.0024238829500973225,0.13115347921848297,0.28978282106108966,0.001,0.036311883479356766,1.7447152137756348,0.558432578187676,929.2315131798069
6,0.08346924185752869,0.07559212297201157,0.013628830201923847,0.7382255792617798,0.026339085772633553,0.0023613525554537773,0.12230228632688522,0.2831259091384709,0.001,0.0327659547328949,1.6234402656555176,0.5672410907577441,943.8890048177954
7,0.08243153244256973,0.07558675110340118,0.01353712659329176,0.7241750359535217,0.023625703528523445,0.0023016585037112236,0.11578816920518875,0.2776468445546925,0.001,0.030815644189715385,1.614201545715332,0.5741360614793791,955.3622381630734
8,0.08177018165588379,0.07558111846446991,0.01346664410084486,0.709717869758606,0.020305510610342026,0.0022403476759791374,0.10808137059211731,0.27226237198337916,0.001,0.030977899208664894,1.6729440689086914,0.5750018023197222,956.8028842869921
9,0.08067140728235245,0.07557515799999237,0.013406730256974697,0.6950182318687439,0.017584726214408875,0.002174871740862727,0.1021508276462555,0.26661700780969116,0.001,0.029563704505562782,1.5928351879119873,0.5787741257807062,963.0800124031981
10,0.08006715029478073,0.07556930184364319,0.013329272158443928,0.68084716796875,0.01594129018485546,0.0021048893686383963,0.09671240299940109,0.2617548005422577,0.001,0.028432060033082962,1.7228384017944336,0.5774867667153539,960.9378872005947
11,0.07926605641841888,0.07556208223104477,0.013254838064312935,0.6652169227600098,0.014245633967220783,0.0020309423562139273,0.0911870226264,0.25631664700340484,0.001,0.027844581753015518,1.6683545112609863,0.5784397333592873,962.5236439049163
