epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
1,0.05898592374258978,0.031069243690226137,0.013305476308154639,0.2720500624344393,0.0009517885804085002,0.0006918173773104233,0.01421274928153961,0.12858407487512546,0.0005,0.024360488403154298,30.977178812026978,21.044282867369454,86145.71833648083
2,0.05746516807610455,0.028957467230900032,0.013957929150401357,0.1375166173407271,1.0168834909496927e-05,0.00032792729428259405,0.000509415550016908,0.09192907357920722,0.0005,0.022849175333405383,28.72291851043701,21.825154427792654,89342.26710129695
3,0.05310386117616314,0.028076602077883917,0.014251695845870336,0.12397471869055844,2.01248859084751e-06,0.00016220822080477366,0.00016369012199975036,0.08413033193194229,0.0005,0.02303882224908087,28.95772624015808,22.040006678364442,90221.77781294196
4,0.05097577547185991,0.027679841329411762,0.014466499998319917,0.11647106110592562,1.5472419110673585e-06,8.372989805417772e-05,8.447345630688938e-05,0.08011051580796855,0.0005,0.02259813699631329,29.626049518585205,22.023668459851997,90154.89856575121
5,0.049506902551861263,0.02766508652215324,0.014743257012572482,0.1113955049084191,1.740939652518276e-06,4.3016728461136006e-05,4.3458190797804927e-05,0.07736460036485719,0.0005,0.02247260842598015,28.432453870773315,22.1930645670165,90848.32874654887
6,0.048574995620896115,0.02736577416611154,0.015019898232861073,0.10771449651866237,2.1070313585725205e-06,2.1865212487894615e-05,2.224019014948943e-05,0.0755082409939613,0.0005,0.02222269845189401,28.420379877090454,22.308521804903524,91320.95948081795
7,0.04785399018369752,0.02725019810221544,0.015293317277018735,0.10458898462035174,2.2119894731047665e-06,1.0925652611534418e-05,1.1291608419773507e-05,0.0740036792638359,0.0005,0.022082179144847613,29.361168146133423,22.288758239358458,91240.05570942139
8,0.047452898101846865,0.027388412346381966,0.015554079884503242,0.10199767323725063,2.065954917433781e-06,5.317877992881105e-06,5.688000275860056e-06,0.07295362359447814,0.0005,0.02195727263800114,28.762487411499023,22.33067423999376,91411.64192659428
9,0.047129110861683914,0.02667781294936814,0.01579121755796022,0.09977536893055483,2.1123849450600714e-06,2.724682307963328e-06,3.1293007820074915e-06,0.07207374973112612,0.0005,0.021832659514906583,29.256675004959106,22.325634547360195,91391.01102923443
10,0.04676605163404912,0.026759351285674225,0.016000030906528143,0.09791654211246163,2.7097080784668786e-06,2.22189422252895e-06,2.599638437975486e-06,0.07124594028623843,0.0005,0.0216618181017736,28.90463662147522,22.345455869785503,91472.15131965624
11,0.04653322009335449,0.026974415202148078,0.016228536746687502,0.09628436939528018,2.410252899176785e-06,1.3979508621999348e-06,1.8763310333515563e-06,0.070604880895654,0.0005,0.021509595129616057,29.71987009048462,22.30778805978827,91317.95597435824
12,0.04628189854278155,0.026588025548290914,0.016434681550399656,0.0947582047386952,2.3670166768416224e-06,1.0895074276218641e-06,1.5823976012218574e-06,0.06997195361962592,0.0005,0.021327502748420452,29.949437856674194,22.261951488422923,91130.32224621094
13,0.046123143679753766,0.02708154841803196,0.016629359142089184,0.09346772374962371,2.5943096688930533e-06,1.2717492992658138e-06,1.7562070419105384e-06,0.0694906368437607,0.0005,0.02117577591979522,29.003334999084473,22.27613024039692,91188.36348585985
14,0.04588316193570389,0.0265886456728345,0.016818436802553436,0.09233070234625251,2.531065846019053e-06,1.083363121693469e-06,1.6213055949403351e-06,0.06896636109572328,0.0005,0.021107269476733508,28.5386061668396,22.315893645163925,91351.13696218054
15,0.04570540581812705,0.027102700207473303,0.017001437528938786,0.09120702775526632,2.4114778661785114e-06,1.048396011717028e-06,1.5685691640071846e-06,0.06850766560124781,0.0005,0.02104337556870437,30.09185791015625,22.2714178678759,91169.0727116623
16,0.045568516540792456,0.027010790844697777,0.017153156652726643,0.09024771594333868,2.4623060295826645e-06,1.1901784677476624e-06,1.6593351985537841e-06,0.06813097670859672,0.0005,0.020829148344878406,28.786144733428955,22.2946844990652,91264.31650044835
17,0.045460987219049884,0.02671332868588407,0.01731832160048781,0.08919007316277437,2.1043557437943867e-06,9.818831396480855e-07,1.4051878367369564e-06,0.0677589546524155,0.0005,0.020684691166013847,29.121840953826904,22.30018518261685,91286.8334703547
18,0.045358432896800936,0.0269055645458582,0.017470248423493897,0.088405569203975,2.4337589556100642e-06,1.239757276884876e-06,1.6857278170221328e-06,0.06746036112219964,0.0005,0.020574753912611425,29.80708885192871,22.276064181977933,91188.09332980737
19,0.045277468900144835,0.02673085722163683,0.017616474603879852,0.08762526622990523,2.3014646072858947e-06,9.312874714067952e-07,1.4412294342770792e-06,0.06718425285577244,0.0005,0.02048722104929342,29.5775146484375,22.263708269866413,91137.513620686
20,0.045165635988207685,0.02703636802914666,0.017760376534510427,0.0869054618445825,2.1226291238114356e-06,9.784705413786758e-07,1.436263053367286e-06,0.06689245518562517,0.0005,0.020338369204885572,28.924906015396118,22.277407562734613,91193.59263213477
21,0.04510752063107454,0.026898854571144756,0.017868556876444012,0.08614809074056295,2.2153943226985827e-06,8.039565261208909e-07,1.3803640716075998e-06,0.06664498328770732,0.0005,0.020289095838559916,29.488321781158447,22.269393345238765,91160.78597057266
22,0.045035115191770114,0.02694251999349856,0.01797551981122033,0.08556351827834648,2.2069168137351847e-06,9.029397763361311e-07,1.4419355903050732e-06,0.06642644994057477,0.0005,0.020247802589705752,30.706350326538086,22.220108186236068,90959.03478765716
