epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
1,0.04214867290989296,0.03678940727216441,0.016199023499970603,0.32539004869073446,1.2559921790949218e-05,0.0006736814113336678,0.12356480921588903,0.001,0.0639391094224779,27.992951154708862,18.293770592176962,74886.36510638653
2,0.038677545795731384,0.03519963132353818,0.016124314645682376,0.2150115578269666,1.5135599095980527e-05,0.0006064404088909526,0.09249259285327173,0.001,0.047792733646929264,27.304473161697388,20.70942734774665,84774.98506889635
3,0.03746923106648256,0.03438681586668259,0.016046952610504043,0.19044265157880227,1.0109075234235474e-05,0.0005844969496500901,0.08513935456367155,0.001,0.03992491890533479,26.34245538711548,21.892922247607405,89619.68121546753
4,0.03664974216371775,0.034207069019718865,0.016207668073246816,0.17549402248457166,6.20802631847199e-06,0.0005754639920057226,0.08058141498669308,0.001,0.035007955457878076,26.8908269405365,22.431922396755745,91826.10383849812
5,0.03615648406871989,0.03491593433952913,0.016438990062891158,0.16510157847057091,4.039267151289832e-06,0.0005715608293621978,0.07748943869601396,0.001,0.031723256074349206,26.85620665550232,22.77217834620504,93218.9547365611
6,0.035759124293511996,0.03367989514840812,0.01665820636746525,0.1569519411155417,2.9504570531858872e-06,0.0005696853982574633,0.07505437315792847,0.001,0.030191137841074196,26.994704723358154,22.991199266373002,94115.52930477895
7,0.03550898549404064,0.033160925502093826,0.016883720049600294,0.15045195059176603,2.509685073561847e-06,0.0005691046323027302,0.07317913457371977,0.001,0.028965731742763262,26.704233646392822,23.18014689580523,94888.99616562923
8,0.0353660576925413,0.03320585386600436,0.017090923407120755,0.14506595878878986,2.239685074194709e-06,0.0005679807728020749,0.07168956943552639,0.001,0.027912522760431276,26.792932510375977,23.315395847400442,95442.64315273
9,0.0352228397240668,0.03383359985380638,0.017301082613940803,0.14031857839482695,1.8828374292426001e-06,0.0005668540957649496,0.07035935801609296,0.001,0.027472446075543486,26.687074184417725,23.43430575149411,95929.40767194278
10,0.03517638057173213,0.03360890637992359,0.017517427331053773,0.13610205947895723,2.0128532283020286e-06,0.0005659967330762934,0.06925869640010189,0.001,0.027247440904104636,26.6805100440979,23.530872549917497,96324.70791715989
11,0.035138162435746634,0.032856658464524804,0.017708807183783846,0.13241627581554688,1.8602851719430646e-06,0.0005656636990156837,0.0682989837880521,0.001,0.02674821644530066,26.63180422782898,23.614257266726995,96666.04722513784
12,0.03503736989584071,0.03366220615259031,0.017897944483174687,0.12910328059245837,1.8191966375195324e-06,0.0005647732010803992,0.06736984928372709,0.001,0.025857800403552737,26.66084933280945,23.679454610293657,96932.93573369145
13,0.035038452669749594,0.033702767522233286,0.018081018186968528,0.126208366883313,1.6720406326955102e-06,0.0005639163552079225,0.06664710323016192,0.001,0.026559828334927926,26.57452392578125,23.743114690255666,97193.53122583813
14,0.03495298716828136,0.03354794645636547,0.018231775525934493,0.12333122991665375,1.7489605736507355e-06,0.0005631916325123683,0.06584228870675339,0.001,0.025543844473028293,26.37861943244934,23.810114004439146,97467.79620409294
15,0.034900753416029585,0.033277481430914344,0.018411494748655454,0.12090332146756853,1.6688221831668112e-06,0.0005655531913250616,0.06518330598427255,0.001,0.02581826153502691,26.25285506248474,23.875814559617265,97736.74474067951
16,0.03488119573338083,0.03317759931087494,0.01856115972908911,0.1186740393836074,1.3672054186537008e-06,0.0005661515027828846,0.06460645745010284,0.001,0.026229306666946117,26.32359528541565,23.92971919258371,97957.40571836966
17,0.03485822461636886,0.03354101614435998,0.01872615229646944,0.11660856902142244,1.3832083818509655e-06,0.0005653306723649448,0.06406703825979915,0.001,0.026071474207508053,26.23808526992798,23.981919930925464,98171.09199082841
18,0.03484967213832527,0.03341461936148202,0.018882099547611973,0.11471073287167798,1.4604025658421057e-06,0.0005653103386077665,0.06358403243036212,0.001,0.026038061915982538,26.726189374923706,24.004523246146736,98263.61969192317
19,0.03484648974052419,0.03345493717891414,0.019022022536812934,0.11286614113058781,1.5398437606342578e-06,0.0005650229283724197,0.06311968130038445,0.001,0.026093112561920304,26.6497585773468,24.028342533759194,98361.12494176216
20,0.03481522726432129,0.03406717037645782,0.0191462523178226,0.11118362168638618,1.4642755951940057e-06,0.0005649141332547415,0.06266777052680284,0.001,0.025622315576265743,26.341116666793823,24.06351958935044,98505.12404941685
21,0.03485186669998374,0.03384977324706752,0.019293253392872453,0.10959194253193089,1.329070166576859e-06,0.0005644360686469526,0.06230642884684781,0.001,0.026166068698548102,26.690537691116333,24.080628341642115,98575.15941820381
