color_index,layout_index,prompt,style_sinkhorn,style_cos,sinkhorn_sinkhorn,sinkhorn_cos,style_f1,style_iou,style_ssim,sinkhorn_f1,sinkhorn_iou,sinkhorn_ssim,attempts,style_time,sinkhorn_time
1000,30,"a car, advertisement style, professional photography",0.030160391703248024,0.29365262389183044,0.045867279171943665,0.24920420348644257,0.27099757878003616,0.15673637929016704,,0.14422106341671811,0.07771457085828265,,3,4.334205150604248,12.917438507080078
1000,71,"a car, advertisement style, professional photography",0.02709604986011982,0.26551496982574463,0.04782132804393768,0.24230042099952698,0.21629320332304028,0.12126051444593293,,0.2634730535365399,0.15172413793103243,,3,4.285322189331055,12.62945294380188
1000,400,"a car, advertisement style, professional photography",0.040244776755571365,0.21341323852539062,0.04537564516067505,0.22642038762569427,0.21910928188421405,0.12303353606740983,,0.28261732778598503,0.16456281579172452,,1,4.0645835399627686,4.200355529785156
1000,507,"a car, advertisement style, professional photography",0.05263834446668625,0.280722439289093,0.039408646523952484,0.2834358811378479,0.2667738189830146,0.15391748774961636,,0.28614178152359643,0.16695767418377475,,1,4.218382120132446,4.169845342636108
1001,30,"a car, advertisement style, professional photography",0.03923016041517258,0.2842739224433899,0.04804801940917969,0.2907809913158417,0.24516824603618256,0.13971040010270672,,0.2640760195446756,0.15212418454470858,,2,4.1946001052856445,8.451042413711548
1001,71,"a car, advertisement style, professional photography",0.04229317605495453,0.280168354511261,0.041900940239429474,0.22437962889671326,0.22650534563713173,0.1277169601776917,,0.23188594168958762,0.13114874635425441,,2,4.131803035736084,8.159038066864014
1001,400,"a car, advertisement style, professional photography",0.03396553546190262,0.23112192749977112,0.04450232908129692,0.19658184051513672,0.22694369734762412,0.1279957650229374,,0.29008477073985217,0.16964862719030688,,3,4.163801193237305,12.470601558685303
1001,507,"a car, advertisement style, professional photography",0.04963257163763046,0.28608202934265137,0.035261187702417374,0.258384108543396,0.24643774553723163,0.14053549873806495,,0.2172759794099732,0.12187864038476924,,6,4.071577787399292,25.021410942077637
1002,30,"a car, advertisement style, professional photography",0.03786098212003708,0.30951738357543945,0.029762715101242065,0.2373127043247223,0.19369840078636835,0.10723480575081616,,0.1523800597555371,0.08247370396291591,,1,4.321009397506714,4.279011249542236
1002,71,"a car, advertisement style, professional photography",0.025017747655510902,0.29897916316986084,0.020554840564727783,0.23154902458190918,0.2159710807617382,0.12105806071323164,,0.2244230354573802,0.12639442861664923,,4,4.139458179473877,16.64536428451538
