epoch,train_sinkhorn,val_sinkhorn,loss,lr,wall_time,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,grad_norm,it_per_sec,samples_per_sec
1,0.03401158154318648,0.03425798402167857,0.4245488263835961,0.0005,8.575965404510498,0.01244966300927903,0.8250808159181894,1.1876425919977347,0.31053500271533147,0.3444928138955565,0.4245488263835961,0.9888246117914019,14.099250110853866,57493.80811965907
2,0.05281006002968008,0.03792626946233213,0.21192803961678972,0.0005,6.95408821105957,0.012679235940445061,0.4658080105446587,0.03502908570707337,0.19404329630461606,0.19758738749776006,0.21192803961678972,0.031060052065809897,15.503995592620841,63222.07913356915
3,0.05478667529407612,0.039120962377637625,0.19472448159286307,0.0005,7.343460559844971,0.012718599151111832,0.43114338285666853,0.03408901174822129,0.1425858481733267,0.14484474592465013,0.19472448159286307,0.030683931132609196,15.815287680618043,64491.470850807775
4,0.05463268543201045,0.03786811511963606,0.17935386886589294,0.0005,7.4811015129089355,0.012747264836630053,0.39704768815316444,0.034678027126168416,0.10913202653000177,0.1107825602997433,0.17935386886589294,0.03590537269007076,15.903411219405122,64850.82156766848
5,0.057839150732952704,0.04055861663073301,0.1643371375954964,0.0005,7.067971706390381,0.012948766520077532,0.3435366089678993,0.032846514120205374,0.08601732114868715,0.08727451093679617,0.1643371375954964,0.03452731886001165,16.13254571394261,65785.18532324223
6,0.06150378647052552,0.04273653123527765,0.15442187007331898,0.0005,7.574693441390991,0.013114532671314625,0.30576975040199345,0.028866504973247033,0.06749744667125142,0.06839250837845251,0.15442187007331898,0.034855518197594595,16.10589948148833,65676.5272939517
7,0.06426759664554241,0.04293489851988852,0.14639070164412263,0.0005,7.513134241104126,0.013411698023950265,0.27511055804481194,0.025369263154046594,0.053714917279964636,0.05437047443976087,0.14639070164412263,0.03933821686289527,16.10574808123187,65675.91095715124
8,0.06475299981630538,0.04144503618590534,0.13718689531241812,0.0005,7.218730926513672,0.013874837982445216,0.2459007091512365,0.022476997857620893,0.04330608184056834,0.043804102384847055,0.13718689531241812,0.044683455712785404,16.18491421691403,65998.73408128369
9,0.06690432239046767,0.042247358011081815,0.1286844201462944,0.0005,7.194888591766357,0.014327506196092476,0.21112430120302625,0.018957085861277975,0.0353372978462168,0.035695840843206594,0.1286844201462944,0.05702645827300292,16.252810256672802,66275.59961396172
10,0.07000547364230983,0.04226502776145935,0.12091020475380307,0.0005,7.151567459106445,0.014712179695402295,0.17439287753144572,0.0142505010282082,0.02929386858297281,0.029520747675137085,0.12091020475380307,0.06216625198106135,16.317060334577185,66537.59818383507
11,0.07008669710110042,0.04253285960294306,0.11439246906906612,0.0005,7.364043235778809,0.015126533706264555,0.15455547578571258,0.010001097413257134,0.023265871088490014,0.023402061713628533,0.11439246906906612,0.06262699634698797,16.327347884520066,66579.55028047053
